,Latitude,Longitude,City,Temperature,Humidity,Cloudiness,Wind Speeds
0,-42.48,-73.76,Castro,284.15,62,0,3.1
1,54.02,-128.69,Kitimat,279.15,93,90,4.1
2,15.34,74.49,Vaini,293.27,97,99,0.05
3,-0.6,73.08,Hithadhoo,300.22,77,6,4.8
4,39.31,-74.98,Port Elizabeth,290.46,59,1,3.52
5,55.34,-131.65,Ketchikan,280.15,93,90,5.7
6,-33.02,27.91,East London,289.21,61,100,9.76
7,-46.19,168.86,Mataura,279.82,92,91,2.68
8,42.65,-73.75,Albany,286.34,67,20,1.5
9,-46.43,-67.52,Mar del Plata,288.22,31,0,4.72
10,33.93,134.5,Katsuura,289.66,93,20,1.5
11,71.97,114.09,Saskylakh,261.9,91,100,4.37
12,65.28,-126.83,Norman Wells,270.15,92,90,2.6
13,60.47,166.1,Tilichiki,262.03,68,59,3.97
14,12.63,80.17,Mamallapuram,297.08,100,75,2.1
15,19.71,-155.08,Hilo,298.09,74,75,3.6
16,64.9,45.76,Leshukonskoye,270.55,85,99,4.82
17,77.48,-69.36,Qaanaaq,258.31,39,0,5.23
18,-32.6,149.59,Mudgee,288.71,67,18,2.1
19,-34.42,19.24,Hermanus,284.87,77,51,9.82
20,-43.03,147.26,Margate,284.9,66,75,3.6
21,-33.64,115.35,Busselton,286.53,75,6,2.61
22,11.0,122.67,Dingle,296.7,91,0,2.39
23,19.59,81.66,Kondagaon,292.62,98,29,0.62
24,-46.13,167.69,Tuatapere,279.82,92,100,2.68
25,-21.21,-159.78,Avarua,299.15,78,0,6.2
26,-33.93,18.42,Cape Town,286.32,65,0,2.68
27,48.65,-53.11,Bonavista,280.37,86,54,2.68
28,73.51,80.55,Dikson,270.57,92,100,8.43
29,-23.12,-134.97,Rikitea,294.82,80,100,10.08
30,-3.71,-38.6,Vila Velha,299.65,69,88,5.1
31,65.61,-37.64,Tasiilaq,271.15,79,65,1.0
32,23.99,-104.67,Constitucion,298.15,53,75,4.08
33,46.84,16.85,Zalaegerszeg,287.04,93,1,1.0
34,60.79,-161.76,Bethel,273.48,88,90,4.1
35,1.74,98.78,Sibolga,294.8,97,100,0.63
36,24.09,32.9,Aswan,302.15,21,100,4.1
37,-53.16,-70.91,Punta Arenas,284.99,46,75,17.0
38,61.99,-49.67,Paamiut,276.27,77,0,1.45
39,-33.85,151.22,Sydney,290.06,68,0,3.1
40,64.27,100.22,Tura,261.51,82,100,2.03
41,-18.17,49.38,Toamasina,294.15,94,20,3.34
42,46.83,-100.89,Mandan,280.06,70,75,6.7
43,19.93,-105.25,Tomatlan,297.12,81,100,1.5
44,-54.81,-68.31,Ushuaia,287.15,89,40,10.3
45,-27.98,26.74,Welkom,285.93,35,0,3.05
46,-30.97,22.13,Carnarvon,283.62,51,29,9.82
47,54.32,-130.32,Prince Rupert,283.15,87,90,2.1
48,16.47,107.58,Hue,297.15,94,20,1.0
49,59.7,30.79,Nikolskoye,277.76,93,90,1.79
50,60.15,-1.15,Lerwick,283.15,87,75,13.4
51,-0.74,-90.35,Puerto Ayora,295.79,64,90,6.7
52,-0.92,100.36,Padang,292.49,93,92,0.86
53,-23.58,149.07,Bluff,291.88,70,0,6.78
54,55.42,22.62,Skaudvile,283.69,95,96,2.75
55,10.3,22.78,Birao,295.88,88,5,2.76
56,64.75,20.95,Skelleftea,271.99,81,100,2.6
57,20.89,-156.47,Kahului,301.45,55,40,5.7
58,14.25,-87.96,San Jose,303.15,58,40,4.6
59,-33.59,26.89,Port Alfred,287.59,70,100,2.24
60,-33.21,138.6,Jamestown,288.35,36,92,4.3
61,60.91,-46.05,Narsaq,274.15,80,0,0.54
62,-24.7,-47.56,Iguape,290.46,97,100,1.27
63,-34.85,139.16,Palmer,291.47,59,58,0.5
64,13.08,109.3,Tuy Hoa,298.68,86,20,4.79
65,17.01,54.1,Salalah,300.15,61,100,1.5
66,-30.17,-50.22,Cidreira,290.36,81,100,3.83
67,-20.58,48.53,Nosy Varika,294.5,88,2,3.32
68,62.0,132.43,Churapcha,265.75,87,97,1.19
69,62.45,-114.38,Yellowknife,271.04,74,90,5.1
70,41.28,20.71,Poum,285.43,63,0,1.27
71,15.86,-97.07,Puerto Escondido,304.15,66,40,3.1
72,55.74,-97.86,Thompson,279.15,48,40,3.6
73,58.81,-122.69,Fort Nelson,276.15,74,20,2.6
74,59.06,80.87,Kargasok,270.13,76,100,4.58
75,-42.88,147.33,Hobart,284.9,66,75,3.6
76,36.62,-121.92,Pacific Grove,299.4,49,1,2.6
77,41.96,42.96,Khani,286.15,100,40,1.0
78,-33.69,-53.46,Chuy,285.89,86,100,2.33
79,43.97,-111.68,Saint Anthony,283.17,31,90,3.1
80,-42.78,147.06,New Norfolk,284.9,66,75,3.6
81,39.73,98.49,Jiuquan,278.13,33,0,0.98
82,-20.01,57.66,Grand Gaube,296.86,83,75,5.1
83,69.65,18.96,Tromso,272.13,86,75,8.2
84,50.57,123.73,Alihe,271.66,49,0,5.06
85,5.28,115.24,Victoria,299.42,88,75,4.3
86,39.95,-94.76,Kodiak,285.37,58,90,7.2
87,3.07,172.79,Butaritari,301.79,77,28,6.52
88,56.49,66.92,Novaya Zaimka,272.79,89,100,5.46
89,28.66,-17.92,Los Llanos de Aridane,290.59,68,20,4.6
90,-29.69,152.93,Grafton,289.16,87,36,2.6
91,10.57,72.64,Kavaratti,299.33,89,100,10.91
92,45.36,-73.48,Saint-Philippe,286.88,62,1,2.1
93,40.8,-124.16,Eureka,290.9,72,20,5.7
94,64.25,-15.21,Hofn,277.87,58,0,9.74
95,50.68,156.12,Severo-Kurilsk,274.24,83,100,3.27
96,20.86,92.31,Teknaf,295.58,95,0,0.46
97,-37.83,140.78,Mount Gambier,280.15,100,40,2.6
